Rank,Name,Platform,Year,Genre
183,Super Mario Bros. 3,6,2003.0,4
184,New Super Mario Bros. U,27,2012.0,4
185,Super Mario Land 3: Wario Land,5,1994.0,4
186,FIFA Soccer 13,28,2012.0,0
187,The Legend of Zelda: Phantom Hourglass,4,2007.0,0
188,Donkey Kong Country 2: Diddy's Kong Quest,23,1995.0,4
189,Tomodachi Life,2,2013.0,9
190,Mario & Sonic at the Olympic Games,4,2008.0,10
191,Medal of Honor: Rising Sun,16,2003.0,8
192,Kirby's Dream Land,5,1992.0,4
193,Fable III,28,2010.0,7
194,Call of Duty: Advanced Warfare,30,2014.0,8
195,Microsoft Flight Simulator,13,1996.0,9
196,Guitar Hero II,16,2006.0,3
197,Resident Evil 5,17,2009.0,0
198,Grand Theft Auto V,30,2014.0,0
199,Grand Theft Auto: Vice City Stories,19,2006.0,0
200,FIFA Soccer 11,17,2010.0,10
201,Super Mario Bros.,5,1999.0,4
202,Resident Evil,15,1996.0,0
203,Tony Hawk's Pro Skater,15,1999.0,10
204,Super Smash Bros. for Wii U and 3DS,27,2014.0,2
205,Warzone 2100,15,1999.0,11
206,Spyro the Dragon,15,1998.0,4
207,Link's Crossbow Training,26,2007.0,8
208,Guitar Hero III: Legends of Rock,16,2007.0,3
209,Fallout 3,28,2008.0,7
210,Pokemon Mystery Dungeon: Explorers of Time/Explorers of Darkness,4,2007.0,7
211,Uncharted: Drake's Fortune,17,2007.0,0
212,Madden NFL 06,16,2005.0,10
213,LEGO Star Wars: The Complete Saga,4,2007.0,0
214,Diddy Kong Racing,10,1997.0,6
215,Monster Hunter Freedom 3,19,2010.0,7
216,Dr. Mario,11,1990.0,5
217,God of War III,17,2010.0,0
218,StarCraft II: Wings of Liberty,13,2010.0,11
219,Assassin's Creed,17,2007.0,1
220,FIFA 15,17,2014.0,10
221,Crash Team Racing,15,1999.0,6
222,FIFA 17,18,2016.0,10
223,Batman: Arkham City,28,2011.0,0
224,Driver 2,15,2000.0,0
225,The Simpsons: Hit & Run,16,2003.0,6
226,Tony Hawk's Pro Skater 2,15,2000.0,10
227,Animal Crossing: City Folk,26,2008.0,9
228,The Lord of the Rings: The Two Towers,16,2002.0,0
229,Forza Motorsport 4,28,2011.0,6
230,Tomb Raider,15,1996.0,0
231,Guitar Hero III: Legends of Rock,26,2007.0,3
232,The Legend of Zelda: A Link to the Past,23,1991.0,0
233,The Legend of Zelda: The Wind Waker,7,2002.0,0
234,Mario & Sonic at the Olympic Winter Games,26,2009.0,10
235,Luigi's Mansion: Dark Moon,2,2013.0,0
236,Splatoon,27,2015.0,8
237,The Last of Us,18,2014.0,0
238,Guitar Hero III: Legends of Rock,28,2007.0,3
239,Madden NFL 2005,16,2004.0,10
240,Pitfall!,0,1981.0,4
241,Madden NFL 07,16,2006.0,10
242,Spider-Man: The Movie,16,2002.0,0
243,Dragon Quest VII: Warriors of Eden,15,2000.0,7
244,Uncharted: The Nathan Drake Collection,18,2015.0,0
245,Call of Duty: Advanced Warfare,17,2014.0,8
246,God of War,16,2005.0,0
247,Nintendo Land,27,2012.0,3
248,Michael Jackson: The Experience,26,2010.0,3
249,Tony Hawk's Pro Skater 3,16,2001.0,10
250,Winning Eleven: Pro Evolution Soccer 2007,16,2006.0,10
251,The Elder Scrolls IV: Oblivion,28,2006.0,7
252,Zelda II: The Adventure of Link,11,1987.0,1
253,Need for Speed: Most Wanted,16,2005.0,6
254,Resistance: Fall of Man,17,2006.0,8
255,Sonic the Hedgehog,8,1991.0,4
256,Kingdom Hearts II,16,2005.0,7
257,FIFA 14,28,2013.0,10
258,Call of Duty: Advanced Warfare,28,2014.0,8
259,Asteroids,0,1980.0,8
260,Fable II,28,2008.0,7
261,Halo 5: Guardians,30,2015.0,8
262,Super Mario 3D World,27,2013.0,4
263,Batman: Arkham Asylum,17,2009.0,0
264,Assassin's Creed: Revelations,17,2011.0,0
265,Namco Museum,6,2001.0,3
266,Metal Gear Solid 3: Snake Eater,16,2004.0,0
267,Daxter,19,2006.0,4
268,Warcraft II: Tides of Darkness,13,1995.0,11
269,The Legend of Zelda: Ocarina of Time,2,2011.0,0
270,FIFA Soccer 06,16,2005.0,10
271,EyeToy Play,16,2003.0,3
272,Uncharted 4: A Thief's End,18,2016.0,8
273,Gran Turismo 5 Prologue,17,2007.0,6
274,Assassin's Creed: Revelations,28,2011.0,0
275,Street Fighter IV,17,2009.0,2
276,FIFA 12,28,2011.0,10
277,Teenage Mutant Ninja Turtles,11,1989.0,0
278,Excitebike,11,1984.0,6
279,Frogger,15,1997.0,0
280,Madden NFL 2003,16,2002.0,10
281,Watch Dogs,18,2014.0,0
282,Half-Life,13,1997.0,8
283,Super Mario World 2: Yoshi's Island,23,1995.0,4
284,FIFA Soccer 07,16,2006.0,10
285,The Legend of Zelda: Skyward Sword,26,2011.0,0
286,Street Fighter II Turbo,23,1992.0,2
287,Carnival Games,26,2007.0,3
288,Fallout 4,30,2015.0,7
289,World of Warcraft: The Burning Crusade,13,2007.0,7
290,Fallout: New Vegas,28,2010.0,7
291,God of War II,16,2007.0,0
292,Forza Motorsport 2,28,2007.0,6
293,World Soccer Winning Eleven 9,16,2005.0,10
294,Namco Museum Vol.3,15,1996.0,3
295,Tekken Tag Tournament,16,2000.0,2
296,Far Cry 4,18,2014.0,8
297,Star Fox 64,10,1997.0,8
298,Minecraft,18,2014.0,3
299,Golf,11,1984.0,10
300,Fallout 3,17,2008.0,7
301,Professor Layton and the Diabolical Box,4,2007.0,5
302,Left 4 Dead 2,28,2009.0,8
303,Namco Museum: 50th Anniversary,16,2005.0,3
304,EA Sports Active,26,2009.0,10
305,Assassin's Creed: Unity,18,2014.0,0
306,Donkey Kong Land,5,1994.0,4
307,Tony Hawk's Underground,16,2003.0,10
308,Assassin's Creed IV: Black Flag,17,2013.0,0
309,Monster Hunter 4 Ultimate,2,2014.0,7
310,MotorStorm,17,2006.0,6
311,The Elder Scrolls V: Skyrim,13,2011.0,7
312,Tekken 5,16,2005.0,2
313,Dragon Warrior III,11,1988.0,7
314,Sports Champions,17,2010.0,10
315,NBA 2K16,18,2015.0,10
316,World Soccer Winning Eleven 8 International,16,2004.0,10
317,Flash Focus: Vision Training in Minutes a Day,4,2007.0,3
318,Namco Museum Vol.1,15,1995.0,3
319,The Legend of Zelda: Link's Awakening,5,1992.0,0
320,Mario & Luigi: Bowser's Inside Story,4,2009.0,7
321,Big Brain Academy: Wii Degree,26,2007.0,3
322,Nintendogs + cats,2,2011.0,9
323,Batman: Arkham Knight,18,2015.0,0
324,Mario & Sonic at the London 2012 Olympic Games,26,2011.0,10
325,LEGO Indiana Jones: The Original Adventures,28,2008.0,0
326,Resident Evil Director's Cut,15,1996.0,0
327,Ratchet & Clank: Size Matters,19,2007.0,4
328,Just Dance 2014,26,2013.0,3
329,The Sims: Unleashed,13,2002.0,9
330,Super Paper Mario,26,2007.0,4
331,Harry Potter and the Sorcerer's Stone,15,2001.0,0
332,The Witcher 3: Wild Hunt,18,2015.0,7
333,Resident Evil 3: Nemesis,15,1999.0,0
334,Spyro: Year of the Dragon,15,2000.0,4
335,FIFA Soccer 2005,16,2004.0,10
336,Pokémon Trading Card Game,5,1998.0,11
337,Battlefield 4,17,2013.0,8
338,MySims,4,2007.0,9
339,Friend Collection,4,2009.0,3
340,Tony Hawk's Pro Skater 4,16,2002.0,10
341,Midnight Club 3: DUB Edition,19,2005.0,6
342,Banjo-Kazooie,10,1998.0,4
343,SOCOM: U.S. Navy SEALs,16,2002.0,8
344,Guitar Hero: World Tour,26,2008.0,3
345,Gran Turismo 6,17,2013.0,6
346,Jak and Daxter: The Precursor Legacy,16,2001.0,4
347,Pokemon Snap,10,1999.0,9
348,FIFA Soccer 10,17,2009.0,10
349,Pro Evolution Soccer 2008,16,2007.0,10
350,Call of Duty: Ghosts,18,2013.0,8
351,Resident Evil 4,16,2005.0,0
352,Tom Clancy's The Division,18,2016.0,8
353,Star Wars: Battlefront,16,2004.0,8
354,Doom II: Hell on Earth,13,1994.0,8
355,The Simpsons: Road Rage,16,2001.0,6
356,Cooking Mama 2: Dinner With Friends,4,2007.0,9
357,Luigi's Mansion,7,2001.0,0
358,Star Wars: Battlefront II,16,2005.0,8
359,WWF SmackDown!,15,2000.0,2
360,Croc: Legend of the Gobbos,15,1997.0,4
361,Grand Theft Auto: Liberty City Stories,16,2006.0,0
362,The Getaway,16,2002.0,0
363,Tomb Raider III: Adventures of Lara Croft,15,1997.0,0
364,James Bond 007: Agent Under Fire,16,2001.0,8
365,LEGO Star Wars: The Video Game,16,2005.0,0
366,Battlefield 4,28,2013.0,8
367,FIFA Soccer 11,28,2010.0,10
368,Rugrats in Paris: The Movie,15,2000.0,0
369,Spyro 2: Ripto's Rage!,15,1999.0,4
370,Left 4 Dead,28,2008.0,8
371,Mario & Sonic at the Olympic Winter Games,4,2009.0,10
372,Resident Evil 5,28,2009.0,0
373,Donkey Kong Country 3: Dixie Kong's Double Trouble!,23,1996.0,4
374,Assassin's Creed: Brotherhood,28,2010.0,0
375,Kung Fu,11,1985.0,0
376,Batman: Arkham Asylum,28,2009.0,0
377,Clubhouse Games,4,2006.0,3
378,FIFA Soccer 2004,16,,10
379,Star Wars Battlefront (2015),30,2015.0,8
380,Battlefield: Bad Company 2,28,2010.0,8
381,Guitar Hero: On Tour,4,2008.0,3
382,Assassin's Creed: Unity,30,2014.0,0
383,Far Cry 3,17,2012.0,8
384,Monster Hunter 4,2,2013.0,7
385,Borderlands,28,2009.0,8
386,Tekken 4,16,2002.0,2
387,Battlefield 4,18,2013.0,8
388,LittleBigPlanet 2,17,2011.0,4
389,Grand Theft Auto 2,15,1998.0,0
390,Final Fantasy III,23,1994.0,7
391,Spider-Man 2,16,2004.0,0
392,F-1 Race,5,1990.0,6
393,FIFA Soccer 2003,16,2002.0,10
394,Crash Bash,15,2000.0,3
395,LEGO Batman: The Videogame,28,2008.0,0
396,Metal Gear Solid V: The Phantom Pain,18,2015.0,0
397,The Legend of Zelda: Spirit Tracks,4,2009.0,0
398,WWF War Zone,15,1998.0,2
399,The Legend of Zelda: Majora's Mask,10,2000.0,0
400,Professor Layton and the Unwound Future,4,2008.0,5
401,Rugrats: Search For Reptar,15,1998.0,1
402,Assassin's Creed IV: Black Flag,28,2013.0,0
403,English Training: Have Fun Improving Your Skills!,4,2006.0,3
404,James Bond 007: Nightfire,16,2002.0,8
405,Ratchet & Clank,16,2002.0,4
406,Mario Party 9,26,2012.0,3
407,Star Wars Episode III: Revenge of the Sith,16,2005.0,0
408,Max Payne,16,2001.0,8
409,The Lord of the Rings: The Return of the King,16,2003.0,0
410,Assassin's Creed Syndicate,18,2015.0,0
411,Destiny,30,2014.0,8
412,True Crime: Streets of LA,16,2003.0,0
413,Wii Music,26,2008.0,3
414,Gran Turismo (PSP),19,2009.0,6
415,Monster Hunter X,2,2015.0,0
416,Tekken,15,1995.0,2
417,FIFA 16,30,2015.0,10
418,L.A. Noire,17,2011.0,1
419,Madden NFL 16,18,2015.0,10
420,Yokai Watch 2 Ganso/Honke,2,2014.0,7
421,007: Tomorrow Never Dies,15,1999.0,8
422,Baseball,11,1983.0,10
423,Killer Instinct,23,1995.0,2
424,WWF SmackDown! 2: Know Your Role,15,2000.0,2
425,Crisis Core: Final Fantasy VII,19,2007.0,7
426,God of War: Chains of Olympus,19,2008.0,0
427,Dragon Quest VI: Maboroshi no Daichi,23,1995.0,7
428,Dance Central,28,2010.0,3
429,Enter the Matrix,16,2003.0,0
430,Super Mario Maker,27,2015.0,4
431,Fallout: New Vegas,17,2010.0,7
432,LEGO Batman: The Videogame,26,,0
433,Rhythm Heaven,4,2008.0,3
434,Ace Combat 04: Shattered Skies,16,2001.0,9
435,Club Penguin: Elite Penguin Force,4,2008.0,1
436,Animal Crossing,7,2001.0,9
437,LEGO Batman: The Videogame,4,2008.0,0
438,Sonic Rush,4,2005.0,4
439,Resident Evil 6,17,2012.0,8
440,Halo: The Master Chief Collection,30,2014.0,8
441,FIFA Soccer 08,16,2007.0,10
442,Spider-Man,15,2000.0,0
443,Need for Speed III: Hot Pursuit,15,1998.0,6
444,Star Wars Episode I Racer,10,1999.0,6
445,Personal Trainer: Cooking,4,2006.0,3
446,The Elder Scrolls IV: Oblivion,17,2007.0,7
447,Dragon Warrior IV,11,1990.0,7
448,Heavy Rain,17,2010.0,1
449,Mass Effect 2,28,2010.0,7
450,FIFA 15,28,2014.0,10
451,Dragon Ball Z: Budokai,16,2002.0,2
452,Madden NFL 2002,16,2001.0,10
453,World Class Track Meet,11,1986.0,10
454,Borderlands 2,28,2012.0,8
455,The Legend of Zelda: A Link Between Worlds,2,2013.0,0
456,Donkey Kong,5,1994.0,4
457,The Sims: Vacation,13,2002.0,9
458,Mass Effect 3,28,2012.0,7
459,Kung Fu Panda,28,2008.0,0
460,Far Cry 3,28,2012.0,8
461,Epic Mickey,26,2010.0,4
462,Saints Row 2,28,2008.0,0
463,Rayman,15,1995.0,4
464,Killzone 2,17,2009.0,8
465,Tom Clancy's Splinter Cell,29,2002.0,0
466,Mike Tyson's Punch-Out!!,11,1987.0,2
467,WWE SmackDown! Shut Your Mouth,16,2002.0,10
468,Gears of War: Ultimate Edition,30,2015.0,8
469,NBA 2K13,28,2012.0,10
470,Dragon Ball Z: Budokai Tenkaichi 3,16,2007.0,2
471,wwe Smackdown vs. Raw 2006,16,,2
472,Middle-Earth: Shadow of Mordor,18,2014.0,0
473,Star Fox,23,1993.0,8
474,The Sims: Livin Large,13,2000.0,3
475,World Soccer Winning Eleven 6 International,16,2002.0,10
476,Devil May Cry,16,2001.0,0
477,Animal Crossing: Happy Home Designer,2,2015.0,9
478,Battlefield: Bad Company 2,17,2010.0,8
479,The Sims 4,13,2014.0,9
480,Star Wars: The Old Republic,13,2011.0,7
481,Sonic Heroes,16,2003.0,4
482,Kirby Super Star Ultra,4,2008.0,4
483,Hitman 2: Silent Assassin,16,2002.0,0
484,Street Fighter IV,28,2009.0,2
485,Wave Race 64,10,1996.0,6
486,SOCOM II: U.S. Navy SEALs,16,2003.0,8
487,WWE SmackDown! vs. RAW 2006,16,2005.0,2
488,inFAMOUS,17,2009.0,0
489,Pac-Man Collection,6,2001.0,5
490,Mass Effect,28,2007.0,7
491,WarioWare: Smooth Moves,26,2006.0,5
492,Cooking Mama: Cook Off,26,2007.0,9
493,Super Mario World 2: Yoshi's Island,6,2002.0,4
494,FIFA 14,18,2013.0,10
495,Titanfall,30,2014.0,8
496,Sonic Mega Collection Plus,16,2004.0,3
497,Sega Superstars Tennis,28,2008.0,10
498,World Soccer Winning Eleven 7 International,16,2003.0,10
499,Need for Speed: Most Wanted,17,2012.0,6
500,Hot Shots Golf 3,16,2001.0,10
501,Call of Duty: Finest Hour,16,2004.0,8
502,Zumba Fitness 2,26,2011.0,10
503,Syphon Filter,15,1999.0,8
504,Imagine: Babyz,4,2007.0,9
505,Colin McRae Rally,15,1998.0,6
506,Call of Duty: Ghosts,30,2013.0,8
507,Madden NFL 13,28,2012.0,10
508,The Elder Scrolls III: Morrowind,29,2002.0,7
509,Mortal Kombat,17,2011.0,2
510,F-Zero,23,1990.0,6
511,Yoshi's Story,10,1997.0,4
512,Command & Conquer: Red Alert,13,1996.0,11
513,Skylanders: Spyro's Adventure,26,2011.0,0
514,FIFA 16,17,2015.0,10
515,Assassin's Creed: Brotherhood,17,2010.0,0
516,BioShock,28,2007.0,8
517,Madden NFL 10,28,2009.0,10
518,Medal of Honor,17,2010.0,8
519,WWE SmackDown! vs. Raw,16,2002.0,2
520,Metroid Prime,7,2002.0,8
521,Finding Nemo,6,2003.0,0
522,Myst,13,1994.0,1
523,Need for Speed: Hot Pursuit,17,2010.0,6
524,Imagine: Fashion Designer,4,2007.0,9
525,WWE SmackDown! Here Comes the Pain,16,2003.0,2
526,Star Wars: The Force Unleashed,28,2008.0,0
527,Yoshi's Island DS,4,2006.0,4
528,Hot Shots Golf,15,1997.0,10
529,Killzone 3,17,2011.0,8
530,A Bug's Life,15,1998.0,4
531,WWF SmackDown! Just Bring It,16,2001.0,2
532,Dragon Quest V: Tenkuu no Hanayome,23,1992.0,7
533,Mortal Kombat Trilogy,15,1996.0,2
534,Battlefield 3,13,2011.0,8
535,NBA Street,16,2001.0,10
536,Professor Layton and the Last Specter,4,2009.0,5
537,Monster Hunter Tri,2,2011.0,7
538,Jak II,16,2003.0,4
539,inFAMOUS: Second Son,18,2014.0,0
540,Ratchet & Clank: Going Commando,16,2003.0,4
541,Tekken 6,17,2009.0,2
542,The Sims,16,2003.0,9
543,Sonic and the Secret Rings,26,2007.0,4
544,Saints Row: The Third,28,2011.0,0
545,Missile Command,0,1980.0,8
546,Mario Paint,23,1992.0,3
547,Assassin's Creed IV: Black Flag,18,2013.0,0
548,Pokémon Stadium 2,10,2000.0,11
549,Metroid,11,1986.0,0
550,L.A. Noire,28,2011.0,1
551,Call of Duty 3,28,2006.0,8
552,The Legend of Zelda: A Link to the Past,6,2002.0,0
553,Onimusha: Warlords,16,2001.0,0
554,Mortal Kombat X,18,2015.0,2
555,Mario Party,10,1998.0,3
556,Madden NFL 12,28,2011.0,10
557,LEGO Star Wars II: The Original Trilogy,16,2006.0,0
558,Madden NFL 11,28,2010.0,10
559,Mario vs. Donkey Kong: Mini-Land Mayhem!,4,2010.0,5
560,Skate 3,28,2010.0,10
561,Burnout 3: Takedown,16,2004.0,6
562,Yokai Watch 2 Shinuchi,2,2014.0,7
563,Need for Speed: Shift,17,2009.0,6
564,Final Fantasy XIII-2,17,2011.0,7
565,Mortal Kombat,8,1992.0,2
566,Call Of Duty 2: Big Red One,16,2005.0,8
567,Guitar Hero: World Tour,28,2008.0,3
568,Medal of Honor,15,1998.0,8
569,Fable,29,2004.0,7
570,Hannah Montana,4,2006.0,0
571,Tom Clancy's Splinter Cell,16,2003.0,0
572,Skylanders Giants,26,2012.0,0
573,Medal of Honor Heroes,19,2006.0,8
574,Super Mario Bros.: The Lost Levels,11,1986.0,4
575,Star Wars: Shadows of the Empire,10,1996.0,0
576,LEGO Star Wars: The Complete Saga,28,2007.0,0
577,Midnight Club: Street Racing,16,2000.0,6
578,Pac-Man: Adventures in Time,19,2006.0,2
579,Halo Wars,28,2009.0,11
580,God of War Collection,17,2009.0,0
581,ESPN NFL 2K5,16,2004.0,10
582,Mario Strikers Charged,26,2007.0,10
583,Medal of Honor,28,2010.0,8
584,FIFA Soccer 10,28,2009.0,10
585,NBA 2K12,28,2011.0,10
586,Style Savvy,4,2008.0,9
587,Harry Potter and the Chamber of Secrets,16,2002.0,0
588,Super Mario All-Stars: Limited Edition,26,2010.0,4
589,Streets of Rage,8,1990.0,0
590,FIFA Soccer 09,17,2008.0,10
591,Ratchet & Clank Future: Tools of Destruction,17,2007.0,4
592,NBA Live 2005,16,2004.0,10
593,LittleBigPlanet,19,2009.0,4
594,Killzone: Shadow Fall,18,2013.0,8
595,Ghostbusters: The Video Game (DS Version),28,2009.0,0
596,Monster Hunter Freedom 2,19,2007.0,7
597,WWE SmackDown vs. RAW 2007,16,2006.0,2
598,Ratchet & Clank: Up Your Arsenal,16,2004.0,4
599,Art Academy,4,2010.0,3
600,Dragon Age: Origins,28,2009.0,7
601,Madden NFL 08,16,2007.0,10
602,Sonic Adventure 2 Battle,7,2001.0,4
603,Dragon Warrior II,11,1987.0,7
604,Madden NFL 13,17,2012.0,10
605,Pokémon Colosseum,7,2003.0,7
606,Deca Sports,26,2008.0,10
607,Madden NFL 09,28,2008.0,10
